,acc1,acc2,acc3,acc4,duration
104482,-8;6;6,0;-3;-13,0;-11;-19,0;-14;-17,104482
104760,,,,,104760
104763,1;-10;-11,0;-2;-1,0;2;3,3;1;7,104763
105035,,,,,105035
105038,0;-6;5,-2;-8;0,-4;-8;-4,-5;-5;-4,105038
105344,,,,,105344
105347,-11;-2;0,-3;4;-3,-1;8;-3,0;6;1,105347
105611,,,,,105611
105614,-3;2;-2,-4;-2;-4,-4;-3;-2,-4;-2;0,105614
105880,,,,,105880
105888,-5;0;-3,-4;1;-1,-5;2;0,-3;1;-2,105888
106149,,,,,106149
106151,-5;1;-2,-6;2;-4,-8;0;-2,-6;-1;-1,106151
106418,,,,,106418
106427,-9;1;-5,-10;4;-2,-10;4;-1,-13;4;0,106427
106693,,,,,106693
106696,-12;3;-5,-11;2;-6,-12;3;-3,-12;3;-2,106696
106966,,,,,106966
106973,-12;4;-5,-12;3;-2,-13;5;-1,-13;4;-2,106973
107237,,,,,107237
107240,-13;1;-3,-14;5;-5,-17;2;-2,-17;3;-5,107240
107513,,,,,107513
107515,-18;0;-2,-18;5;-4,-16;1;-4,-14;1;-2,107515
107788,,,,,107788
107791,-11;1;-4,-14;2;-4,-8;-1;-3,-7;0;-3,107791
108056,,,,,108056
108059,-15;0;-3,-16;0;0,-12;0;-2,-8;0;3,108059
108332,,,,,108332
108335,-11;-1;-1,-12;-3;-2,-14;-1;-1,-14;-1;-1,108335
108596,,,,,108596
108599,-12;-2;-4,-15;-4;-5,-15;-3;-4,-16;-1;-3,108599
108870,,,,,108870
108873,-12;-2;-4,-16;-2;-2,-13;-2;-5,-12;-4;-2,108873
109146,,,,,109146
109149,-16;-4;-5,-17;-1;-1,-14;-6;-6,-15;-8;-2,109149
109424,,,,,109424
109427,-16;-7;-3,-16;-6;-4,-15;-2;-7,-16;-5;-3,109427
109696,,,,,109696
109699,-17;-3;-4,-16;-4;-4,-14;-8;-5,-16;-8;-4,109699
109977,,,,,109977
109980,-15;-3;-3,-13;-4;-4,-15;-7;-2,-15;0;-4,109980
110247,,,,,110247
110249,-17;-1;-2,-15;-1;-5,-15;-5;-5,-15;-4;-5,110249
110521,,,,,110521
110523,-16;-2;-5,-15;-1;-7,-16;-7;-5,-16;-4;-4,110523
110785,,,,,110785
110788,-14;-2;-3,-19;-3;-1,-15;0;-6,-18;0;-6,110788
111062,,,,,111062
111065,-19;-3;-4,-19;-1;-5,-20;1;-7,-20;1;-6,111065
111335,,,,,111335
111338,-19;0;-2,-18;1;-6,-17;1;-3,-21;2;-4,111338
111611,,,,,111611
111619,-18;0;-2,-18;0;-5,-17;2;-4,-19;0;-7,111619
111886,,,,,111886
111889,-20;2;-9,-21;-2;-4,-16;1;-4,-18;0;-4,111889
112156,,,,,112156
112164,-20;-2;-2,-14;-1;-3,-17;-1;-4,-15;-3;-5,112164
112437,,,,,112437
112440,-13;0;-3,-12;-4;-5,-15;-4;-6,-16;-1;-6,112440
112713,,,,,112713
112720,-18;2;-6,-17;0;-1,-16;2;-3,-17;4;0,112720
112988,,,,,112988
112991,-18;3;-4,-17;0;-4,-19;0;-5,-17;1;-5,112991
113265,,,,,113265
113273,-14;3;-9,-16;6;-3,-16;4;-7,-20;3;-3,113273
113538,,,,,113538
113541,-14;1;-7,-16;-1;-2,-16;1;-7,-16;0;-6,113541
113813,,,,,113813
113816,-16;5;-4,-16;4;-4,-14;2;-4,-14;7;-8,113816
114087,,,,,114087
114091,-13;0;-6,-13;3;-3,-10;1;0,-12;2;-1,114091
114370,,,,,114370
114373,-13;2;-2,-8;1;-3,-15;5;-2,-15;6;-6,114373
114654,,,,,114654
114657,-14;2;-4,-15;8;-3,-16;2;-4,-18;0;-4,114657
114934,,,,,114934
114937,-17;1;-4,-14;0;-4,-16;3;-2,-14;7;-5,114937
115209,,,,,115209
115212,-13;5;-8,-10;1;-3,-17;5;-1,-19;3;-5,115212
115477,,,,,115477
115480,-14;4;-4,-15;1;-6,-15;4;-3,-18;3;-7,115480
115753,,,,,115753
115757,-16;1;0,-18;4;0,-11;2;-5,-13;1;-2,115757
116023,,,,,116023
116026,-16;5;-2,-14;3;-6,-14;0;-2,-11;2;-3,116026
116294,,,,,116294
116297,-14;2;-5,-17;3;-2,-13;1;-5,-16;1;-1,116297
116559,,,,,116559
116562,-15;4;-1,-19;7;-2,-17;8;-2,-15;1;-4,116562
116843,,,,,116843
116845,-14;2;-1,-9;3;-10,-9;1;-8,-7;4;-4,116845
117115,,,,,117115
117118,-7;3;0,-6;6;2,-6;4;-3,-5;5;-9,117118
117386,,,,,117386
117393,-3;-1;-7,-4;5;-4,-4;5;0,-5;9;1,117393
117654,,,,,117654
117656,-2;3;0,0;3;-4,-2;2;0,-4;3;-1,117656
117924,,,,,117924
117934,-3;10;-4,-4;7;0,0;6;0,0;0;-1,117934
118199,,,,,118199
118202,-1;2;-1,-1;3;-3,-2;0;-2,-3;2;-6,118202
118474,,,,,118474
118481,-3;1;-2,-2;0;-2,-2;0;-3,-3;8;-7,118481
118744,,,,,118744
118747,-1;3;0,1;5;0,-3;6;2,0;0;-4,118747
119015,,,,,119015
119017,0;0;-4,2;0;-3,-1;3;-4,-4;9;-2,119017
119287,,,,,119287
119290,0;0;-3,-5;3;0,-3;3;-2,-3;0;-3,119290
119556,,,,,119556
119559,-4;-5;0,0;0;-4,-1;3;-2,0;3;1,119559
119832,,,,,119832
119834,4;6;-5,-4;1;-1,-2;0;-2,0;3;-2,119834
120100,,,,,120100
120103,-2;-1;0,0;0;-1,0;1;-2,1;3;2,120103
120381,,,,,120381
120384,2;0;0,3;0;-2,4;1;-2,4;-3;-2,120384
120645,,,,,120645
120647,3;0;3,5;0;0,2;0;0,0;0;-2,120647
120920,,,,,120920
120927,3;0;-1,6;5;0,9;0;0,11;2;2,120927
121195,,,,,121195
121197,7;3;-1,5;2;-1,11;0;0,11;0;0,121197
121457,,,,,121457
121466,12;0;2,11;-4;3,13;3;1,13;0;1,121466
121734,,,,,121734
121737,10;-2;1,14;-3;1,14;0;0,13;0;-2,121737
122008,,,,,122008
122035,15;0;1,14;-3;1,15;4;1,11;1;0,122035
122297,,,,,122297
122299,14;-3;2,11;1;0,14;-2;4,17;-3;5,122299
122571,,,,,122571
122574,16;0;5,15;0;0,13;-2;-1,12;0;1,122574
122847,,,,,122847
122850,12;2;3,12;0;1,16;0;2,12;-2;8,122850
123122,,,,,123122
123125,17;-2;1,16;0;4,15;-1;3,15;-2;0,123125
123398,,,,,123398
123401,12;-2;0,12;-3;0,12;-2;0,11;-4;1,123401
123672,,,,,123672
123675,13;-3;1,10;2;1,11;2;2,11;-2;0,123675
123954,,,,,123954
123957,14;-4;2,15;-1;1,13;-1;3,12;0;2,123957
124229,,,,,124229
124232,14;-3;6,10;0;0,9;-1;0,12;-2;3,124232
124498,,,,,124498
124506,13;-2;0,12;-1;-1,10;0;-1,10;-1;0,124506
124773,,,,,124773
124776,12;0;0,11;-3;2,11;-4;0,12;-3;2,124776
125046,,,,,125046
125054,12;-1;1,12;0;3,12;-1;5,13;0;2,125054
125319,,,,,125319
125321,13;-2;1,10;-2;3,13;-3;2,13;-2;-2,125321
125587,,,,,125587
125595,12;0;3,11;-2;1,11;-2;0,10;-3;1,125595
125862,,,,,125862
125865,10;-3;1,11;-2;2,8;-2;0,9;0;4,125865
126137,,,,,126137
126140,10;-1;2,10;0;-1,12;-2;1,10;-2;4,126140
126412,,,,,126412
126415,11;-3;1,11;-2;2,10;-1;1,12;0;1,126415
126684,,,,,126684
126686,11;-1;2,12;-1;0,12;-1;2,10;0;0,126686
126953,,,,,126953
126956,9;-1;3,0;-2;3,-2;0;0,-7;-3;-1,126956
127220,,,,,127220
127223,-5;-3;-3,-5;-2;-3,-6;-1;-3,-5;-3;-3,127223
127501,,,,,127501
127504,-7;-3;-2,-13;-3;-2,-14;-1;-1,-22;-8;-3,127504
127776,,,,,127776
127779,-24;-6;-7,-20;-7;-6,-19;-5;-7,-20;-12;-6,127779
128058,,,,,128058
128061,-20;-7;-5,-20;-13;-10,-15;-18;-5,-19;-13;-3,128061
128333,,,,,128333
128336,-17;-17;-1,-11;-23;-10,-10;-23;6,-6;-25;4,128336
128611,,,,,128611
128614,-5;-18;2,-5;-21;-2,-8;-23;-2,-7;-27;-1,128614
128877,,,,,128877
128880,-2;-34;-2,-1;-31;-6,4;-28;-7,-2;-33;7,128880
129148,,,,,129148
129156,-8;-35;-4,-8;-39;-4,1;-42;0,-2;-35;0,129156
129417,,,,,129417
129419,-5;-20;4,-8;-22;0,-6;-26;1,-6;-31;-1,129419
129685,,,,,129685
129693,-1;-34;-4,-5;-31;-5,-5;-32;-1,-6;-32;-2,129693
129960,,,,,129960
129964,-7;-26;0,-11;-20;0,-9;-22;-3,-9;-25;-4,129964
130229,,,,,130229
130237,-6;-19;-3,-12;-21;-1,-7;-21;-5,-12;-19;-4,130237
130499,,,,,130499
130502,-13;-13;0,-16;-16;-4,-12;-16;-7,-14;-15;-6,130502
130775,,,,,130775
130783,-21;-14;-2,-16;-14;-7,-15;-13;0,-14;-15;-3,130783
131055,,,,,131055
131058,-15;-16;-4,-18;-13;-6,-17;-12;-10,-20;-7;-2,131058
131331,,,,,131331
131338,-20;-4;-4,-19;-8;-6,-23;-1;-2,-14;-2;-7,131338
131618,,,,,131618
131621,-20;0;-4,-21;0;-8,-21;-1;-3,-20;0;-2,131621
131888,,,,,131888
131896,-19;1;-11,-15;-7;-8,-18;1;-5,-16;0;-5,131896
132169,,,,,132169
132172,-14;-2;-4,-18;1;-5,-19;-4;-7,-20;0;-2,132172
132445,,,,,132445
132447,-20;4;-4,-16;0;-4,-20;-7;0,-22;7;-3,132447
132720,,,,,132720
132723,-18;0;-7,-17;-5;-4,-17;-2;0,-18;1;-1,132723
132995,,,,,132995
132997,-17;-3;-6,-14;-1;-2,-20;0;-7,-19;4;-7,132997
133276,,,,,133276
133279,-15;4;-9,-19;-2;-5,-17;2;-8,-14;-2;1,133279
133545,,,,,133545
133548,-16;-7;-2,-11;5;-7,-11;1;-1,-10;-2;-1,133548
133824,,,,,133824
133827,-11;-3;-4,-11;-1;-1,-11;4;0,-9;-2;-2,133827
134095,,,,,134095
134098,-14;-2;-1,-15;0;-1,-18;5;1,-16;6;-2,134098
134377,,,,,134377
134380,-19;7;-3,-19;0;1,-16;0;-2,-18;0;-4,134380
134656,,,,,134656
134658,-18;2;-4,-20;1;-8,-20;-1;-2,-18;-3;-4,134658
134928,,,,,134928
134931,-16;-4;-3,-14;6;0,-18;1;-4,-18;-2;-5,134931
135196,,,,,135196
135199,-18;-3;-6,-17;0;-6,-15;5;-8,-16;6;-1,135199
135478,,,,,135478
135481,-19;0;1,-18;7;-4,-14;3;-4,-18;2;-5,135481
135747,,,,,135747
135750,-15;3;-3,-12;0;-5,-22;3;-1,-18;6;-6,135750
136020,,,,,136020
136024,-19;-3;-1,-14;-5;-4,-14;2;-6,-14;3;0,136024
136285,,,,,136285
136288,-21;0;1,-17;6;-5,-22;-7;-2,-17;-3;-2,136288
136555,,,,,136555
136563,-15;0;-4,-15;-1;-5,-12;0;-2,-15;1;-4,136563
136835,,,,,136835
136838,-21;0;-4,-15;4;-2,-17;1;-7,-18;1;-3,136838
137099,,,,,137099
137107,-18;0;-1,-17;5;-6,-11;0;-8,-12;1;-6,137107
137374,,,,,137374
137377,-15;7;3,-6;0;-1,-16;-8;-2,-12;5;0,137377
137649,,,,,137649
137658,-9;6;-7,-21;0;0,-9;3;-6,-16;5;0,137658
137924,,,,,137924
137927,-11;13;-8,-10;11;-13,-15;2;-3,-8;-4;-2,137927
138193,,,,,138193
138201,-12;5;-11,-13;0;-4,-14;6;2,-17;-3;2,138201
138462,,,,,138462
138465,-11;-3;-5,-8;7;-7,-9;4;-9,-13;9;-9,138465
138737,,,,,138737
138740,-18;-1;-5,-10;-4;-1,-14;-3;-7,-11;-6;-8,138740
139013,,,,,139013
139016,-12;-4;-5,-11;-3;-8,-10;0;-1,-12;2;-3,139016
139288,,,,,139288
139291,-9;1;-6,-14;5;-4,-11;-1;-7,-13;4;-10,139291
139564,,,,,139564
139566,-9;8;-2,-12;4;1,-9;2;-8,-12;1;-5,139566
139834,,,,,139834
139837,-15;-3;-3,-14;1;-7,-9;0;-4,-12;-6;-4,139837
140134,,,,,140134
140137,-10;2;-3,-11;1;-5,-11;-1;-2,-11;0;-5,140137
140405,,,,,140405
140407,-11;-2;-6,-11;0;0,-8;0;0,-13;2;-4,140407
140677,,,,,140677
140680,-12;1;2,-6;8;-4,-11;3;-6,-5;-2;-2,140680
140953,,,,,140953
140956,-1;2;-1,-3;6;-8,-7;3;-5,-4;2;3,140956
141234,,,,,141234
141237,-3;1;0,-5;0;-8,-2;-1;2,-1;2;0,141237
141510,,,,,141510
141512,-5;-1;-4,-1;1;2,-5;3;1,-7;3;0,141512
141777,,,,,141777
141786,-2;-3;-1,-4;2;-5,-2;5;-5,-4;1;-9,141786
142053,,,,,142053
142056,0;3;-2,-2;0;-2,-2;2;-1,-1;3;-3,142056
142329,,,,,142329
142369,-5;1;-1,-4;3;-3,-4;-3;-8,-5;1;2,142369
142635,,,,,142635
142638,-1;0;-4,0;-2;-5,-2;5;2,-5;0;0,142638
142912,,,,,142912
142920,0;-5;-5,0;1;0,0;0;2,2;4;0,142920
143193,,,,,143193
143196,-2;1;5,-1;0;1,0;-1;1,2;-3;-2,143196
143464,,,,,143464
143467,2;5;0,1;3;0,5;1;4,0;5;6,143467
143736,,,,,143736
143739,11;2;3,1;2;2,11;-2;5,9;1;1,143739
144014,,,,,144014
144017,11;2;2,10;1;9,18;2;1,17;1;3,144017
144287,,,,,144287
144289,17;1;2,16;0;6,20;0;2,14;3;0,144289
144556,,,,,144556
144559,22;3;10,18;-2;16,23;3;9,19;6;4,144559
144836,,,,,144836
144839,23;-2;6,21;0;7,23;5;2,20;6;4,144839
145106,,,,,145106
145110,30;4;8,26;7;9,20;1;1,23;0;3,145110
145375,,,,,145375
145382,20;2;6,22;2;5,20;0;5,21;3;5,145382
145645,,,,,145645
145647,17;-1;8,18;3;3,14;-1;3,10;0;1,145647
145913,,,,,145913
145923,10;1;2,4;1;-1,4;0;-3,3;0;-1,145923
146196,,,,,146196
146198,0;0;-2,0;2;0,-1;0;-3,0;2;-1,146198
146471,,,,,146471
146480,-5;1;-1,-9;3;-1,-8;0;-2,-9;2;-1,146480
146753,,,,,146753
146755,-4;-1;-3,-9;2;0,-10;1;0,-8;1;-4,146755
147022,,,,,147022
147025,-9;1;0,-17;0;-5,-16;1;-6,-19;1;-6,147025
147296,,,,,147296
147299,-18;0;-6,-17;1;-5,-17;1;-3,-21;1;-6,147299
147571,,,,,147571
147574,-18;2;-6,-20;0;-6,-22;3;-3,-23;1;-2,147574
147847,,,,,147847
147850,-21;3;-9,-23;0;-6,-20;3;-7,-25;-2;-4,147850
148127,,,,,148127
148130,-17;-3;1,-24;6;-6,-24;4;-8,-25;2;-6,148130
148406,,,,,148406
148409,-22;1;-11,-22;-3;-15,-20;-5;-4,-25;-1;1,148409
148673,,,,,148673
