,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
58,43930,7;-22;-3,19;-6;-10,4;-24;-4,10;-20;-5,43930,19,2021-11-17
59,44196,,,,,44196,19,2021-11-17
60,44199,10;-19;-5,10;-22;2,2;-11;5,4;-9;5,44199,19,2021-11-17
61,44466,,,,,44466,19,2021-11-17
62,44469,9;-8;1,5;-5;-1,-2;-6;14,11;-17;7,44469,19,2021-11-17
63,44742,,,,,44742,19,2021-11-17
64,44744,1;-11;5,32;-18;9,0;-13;14,-2;-8;-11,44744,19,2021-11-17
65,45009,,,,,45009,19,2021-11-17
66,45012,-3;-12;0,-5;-8;-6,-9;-11;-1,-13;-15;-6,45012,19,2021-11-17
67,45286,,,,,45286,19,2021-11-17
68,45289,-16;-4;-8,-7;-11;-4,-12;-6;5,-8;0;21,45289,19,2021-11-17
69,45561,,,,,45561,19,2021-11-17
70,45564,-15;0;-1,-20;-4;-3,-22;-12;-5,-10;-9;1,45564,19,2021-11-17
71,45836,,,,,45836,19,2021-11-17
72,45838,-6;-10;1,1;-8;0,5;-7;-1,12;-16;-2,45838,19,2021-11-17
73,46105,,,,,46105,19,2021-11-17
74,46107,16;-13;-2,17;0;-19,6;-6;4,12;-14;1,46107,19,2021-11-17
75,46383,,,,,46383,19,2021-11-17
76,46390,11;-15;-4,6;-11;6,6;-10;10,10;-9;5,46390,19,2021-11-17
77,46661,,,,,46661,19,2021-11-17
78,46664,10;-8;1,12;-5;5,8;-9;9,8;-8;-13,46664,19,2021-11-17
79,46936,,,,,46936,19,2021-11-17
80,46939,16;-22;0,15;-13;4,30;-13;10,9;6;21,46939,19,2021-11-17
81,47213,,,,,47213,19,2021-11-17
82,47215,17;-22;7,16;-18;15,21;-21;3,17;-13;9,47215,19,2021-11-17
83,47482,,,,,47482,19,2021-11-17
84,47485,14;-26;11,16;-21;5,13;-23;5,24;-31;2,47485,19,2021-11-17
85,47760,,,,,47760,19,2021-11-17
86,47762,9;-22;4,11;-18;0,12;-26;-7,21;-17;11,47762,19,2021-11-17
87,48026,,,,,48026,19,2021-11-17
88,48028,12;-31;3,8;-21;7,6;-23;-2,13;-19;5,48028,19,2021-11-17
89,48301,,,,,48301,19,2021-11-17
90,48303,10;-17;1,12;-21;5,10;-23;0,12;-18;2,48303,19,2021-11-17
91,48570,,,,,48570,19,2021-11-17
92,48572,17;-34;-25,-16;-8;-49,-15;-11;16,17;-38;-11,48572,19,2021-11-17
93,48838,,,,,48838,19,2021-11-17
94,48846,-16;-12;-38,9;-26;4,-4;-22;21,-3;-25;-15,48846,19,2021-11-17
95,49114,,,,,49114,19,2021-11-17
96,49117,0;-31;-8,5;-17;-1,9;-25;10,11;-22;-10,49117,19,2021-11-17
97,49377,,,,,49377,19,2021-11-17
98,49385,6;-27;10,16;-26;0,11;-24;-7,10;-31;8,49385,19,2021-11-17
99,49651,,,,,49651,19,2021-11-17
100,49654,13;-24;5,4;-21;-13,10;-26;-3,13;-28;-5,49654,19,2021-11-17
101,49928,,,,,49928,19,2021-11-17
102,49931,7;-21;-4,8;-20;6,7;-27;7,6;-28;7,49931,19,2021-11-17
103,50202,,,,,50202,19,2021-11-17
104,50205,9;-26;-7,3;-28;4,5;-25;10,9;-22;3,50205,19,2021-11-17
105,50478,,,,,50478,19,2021-11-17
106,50481,4;-24;11,9;-25;13,5;-23;0,5;-31;3,50481,19,2021-11-17
107,50747,,,,,50747,19,2021-11-17
108,50749,2;-30;4,9;-25;4,5;-25;5,4;-25;2,50749,19,2021-11-17
109,51015,,,,,51015,19,2021-11-17
110,51018,3;-21;3,4;-20;2,6;-16;3,3;-23;11,51018,19,2021-11-17
111,51293,,,,,51293,19,2021-11-17
112,51300,1;-30;-4,5;-26;-5,4;-28;4,7;-25;6,51300,19,2021-11-17
113,51566,,,,,51566,19,2021-11-17
114,51569,11;-28;3,13;-26;-2,7;-34;-9,-2;-28;-2,51569,19,2021-11-17
115,51842,,,,,51842,19,2021-11-17
116,51850,0;-30;15,7;-34;11,5;-30;8,3;-36;4,51850,19,2021-11-17
117,52116,,,,,52116,19,2021-11-17
118,52119,3;-19;5,-1;-24;1,1;-33;5,0;-24;-5,52119,19,2021-11-17
119,52399,,,,,52399,19,2021-11-17
120,52401,0;-21;12,-8;-22;8,-4;-20;6,2;-17;-11,52401,19,2021-11-17
121,52668,,,,,52668,19,2021-11-17
122,52670,2;-20;-6,3;-22;4,0;-18;14,0;-20;-1,52670,19,2021-11-17
123,52942,,,,,52942,19,2021-11-17
124,52945,-2;-27;-18,-2;-17;-7,-3;-22;-1,-3;-21;3,52945,19,2021-11-17
125,53218,,,,,53218,19,2021-11-17
126,53220,0;-18;-2,0;-18;7,2;-16;-3,-1;-14;12,53220,19,2021-11-17
127,53487,,,,,53487,19,2021-11-17
128,53490,4;-17;-2,-4;-24;8,-2;-11;9,-4;-2;18,53490,19,2021-11-17
129,53761,,,,,53761,19,2021-11-17
130,53764,2;-14;-7,-6;-12;1,-2;0;-6,-8;-15;-3,53764,19,2021-11-17
131,54025,,,,,54025,19,2021-11-17
132,54027,3;-18;10,0;-7;-3,-8;0;1,0;3;-2,54027,19,2021-11-17
133,54294,,,,,54294,19,2021-11-17
134,54302,1;-9;-4,2;7;12,4;8;12,5;-2;0,54302,19,2021-11-17
135,54569,,,,,54569,19,2021-11-17
136,54573,5;0;3,2;5;0,0;6;-6,1;-6;1,54573,19,2021-11-17
137,54844,,,,,54844,19,2021-11-17
138,54847,6;3;-4,3;10;9,3;-9;-1,-4;0;6,54847,19,2021-11-17
139,55122,,,,,55122,19,2021-11-17
140,55126,-2;4;-3,-2;1;-1,5;0;0,3;7;-4,55126,19,2021-11-17
141,55390,,,,,55390,19,2021-11-17
142,55392,-1;4;2,-3;11;0,0;18;-6,4;10;-15,55392,19,2021-11-17
143,55674,,,,,55674,19,2021-11-17
144,55677,-6;3;-5,0;-4;1,2;5;12,6;6;4,55677,19,2021-11-17
145,55947,,,,,55947,19,2021-11-17
146,55949,4;-5;-4,4;6;0,11;17;-12,8;14;-4,55949,19,2021-11-17
147,56222,,,,,56222,19,2021-11-17
148,56229,0;0;1,-5;28;-10,9;10;-3,5;5;-19,56229,19,2021-11-17
149,56497,,,,,56497,19,2021-11-17
150,56499,5;24;-25,7;14;-18,3;10;-18,1;11;-23,56499,19,2021-11-17
151,56766,,,,,56766,19,2021-11-17
152,56775,1;13;-3,7;13;-1,3;10;-3,2;17;-7,56775,19,2021-11-17
153,57041,,,,,57041,19,2021-11-17
154,57044,0;17;1,3;7;-3,2;-2;-2,-1;14;5,57044,19,2021-11-17
155,57312,,,,,57312,19,2021-11-17
156,57315,0;6;11,-4;15;15,4;6;-4,9;-8;-17,57315,19,2021-11-17
157,57585,,,,,57585,19,2021-11-17
158,57588,0;15;-7,-4;17;0,4;0;-15,3;12;3,57588,19,2021-11-17
159,57854,,,,,57854,19,2021-11-17
160,57857,2;7;9,4;6;8,2;2;-17,7;4;-3,57857,19,2021-11-17
161,58128,,,,,58128,19,2021-11-17
162,58131,6;12;0,0;4;-7,4;2;2,9;7;4,58131,19,2021-11-17
163,58393,,,,,58393,19,2021-11-17
164,58396,-3;4;4,1;9;5,0;3;9,2;8;-8,58396,19,2021-11-17
165,58661,,,,,58661,19,2021-11-17
166,58669,11;7;16,-8;-21;-3,-23;-35;-16,13;-12;6,58669,19,2021-11-17
167,58936,,,,,58936,19,2021-11-17
168,58939,-30;2;-25,-3;-13;-5,-6;-14;4,9;-6;-2,58939,19,2021-11-17
169,59205,,,,,59205,19,2021-11-17
170,59233,11;3;-12,0;-4;8,16;-1;-4,10;2;-5,59233,19,2021-11-17
171,59505,,,,,59505,19,2021-11-17
172,59508,2;5;1,-5;3;-9,3;9;-1,-1;6;-5,59508,19,2021-11-17
173,59783,,,,,59783,19,2021-11-17
174,59786,-17;-1;-2,5;6;12,7;-10;-25,9;8;6,59786,19,2021-11-17
175,60051,,,,,60051,19,2021-11-17
176,60054,0;7;11,-9;10;0,2;8;-8,2;7;2,60054,19,2021-11-17
177,60325,,,,,60325,19,2021-11-17
178,60328,-5;-8;-3,9;7;-2,6;3;-9,5;8;-3,60328,19,2021-11-17
179,60606,,,,,60606,19,2021-11-17
180,60609,-1;-3;-4,-5;-10;0,-3;1;0,3;2;2,60609,19,2021-11-17
181,60884,,,,,60884,19,2021-11-17
182,60887,-4;-11;24,16;-17;-9,3;0;-14,1;-19;-14,60887,19,2021-11-17
183,61151,,,,,61151,19,2021-11-17
184,61159,-3;1;-2,0;-12;-8,3;-14;0,4;-10;3,61159,19,2021-11-17
185,61426,,,,,61426,19,2021-11-17
186,61429,-9;-1;10,1;-7;-5,0;-42;36,11;-17;-16,61429,19,2021-11-17
187,61702,,,,,61702,19,2021-11-17
188,61704,1;-10;3,16;-1;0,0;-19;0,-3;-25;-4,61704,19,2021-11-17
189,61984,,,,,61984,19,2021-11-17
190,61987,-4;-13;-15,-5;-15;-14,4;0;-10,-8;5;-11,61987,19,2021-11-17
191,62252,,,,,62252,19,2021-11-17
192,62255,2;-3;-12,16;6;-11,11;0;-3,-8;0;0,62255,19,2021-11-17
193,62527,,,,,62527,19,2021-11-17
194,62530,4;-48;7,14;-23;13,16;18;4,6;-13;7,62530,19,2021-11-17
195,62803,,,,,62803,19,2021-11-17
196,62806,5;2;0,0;3;-6,-3;-2;5,8;-16;11,62806,19,2021-11-17
197,63083,,,,,63083,19,2021-11-17
198,63085,-8;6;6,5;-7;13,-2;-21;16,18;9;-12,63085,19,2021-11-17
199,63347,,,,,63347,19,2021-11-17
200,63349,11;-11;12,2;-3;2,4;-16;0,4;-25;6,63349,19,2021-11-17
201,63616,,,,,63616,19,2021-11-17
202,63624,-2;-27;6,6;-6;2,-3;0;20,14;-19;5,63624,19,2021-11-17
203,63885,,,,,63885,19,2021-11-17
204,63888,15;0;-31,5;-25;1,31;-29;28,-12;-43;72,63888,19,2021-11-17
205,64154,,,,,64154,19,2021-11-17
206,64162,29;2;3,15;-6;2,12;6;5,9;-31;-23,64162,19,2021-11-17
207,64432,,,,,64432,19,2021-11-17
208,64435,21;-3;-14,19;19;14,16;-18;6,15;-30;5,64435,19,2021-11-17
209,64704,,,,,64704,19,2021-11-17
210,64707,3;-22;11,7;-7;29,2;0;33,15;-10;-3,64707,19,2021-11-17
211,64982,,,,,64982,19,2021-11-17
212,64984,9;-26;28,28;17;-35,-32;45;64,35;-13;70,64984,19,2021-11-17
213,65249,,,,,65249,19,2021-11-17
214,65252,36;-11;-5,-2;-32;6,24;4;13,-1;-3;6,65252,19,2021-11-17
215,65523,,,,,65523,19,2021-11-17
216,65526,15;5;22,21;11;35,0;-13;-1,25;0;-16,65526,19,2021-11-17
217,65793,,,,,65793,19,2021-11-17
218,65796,16;-38;19,12;-26;46,-10;-3;-16,26;9;1,65796,19,2021-11-17
219,66062,,,,,66062,19,2021-11-17
220,66069,8;2;-34,30;-10;-2,12;-6;-17,30;-15;-14,66069,19,2021-11-17
221,66332,,,,,66332,19,2021-11-17
222,66335,7;-12;-4,13;4;20,13;-4;12,5;-3;-31,66335,19,2021-11-17
223,66606,,,,,66606,19,2021-11-17
224,66615,13;23;34,25;11;58,18;0;10,5;-2;-28,66615,19,2021-11-17
225,66882,,,,,66882,19,2021-11-17
226,66885,21;-12;4,28;22;1,6;-10;-17,-6;-45;-26,66885,19,2021-11-17
227,67153,,,,,67153,19,2021-11-17
228,67155,22;-24;-29,30;-40;-3,8;-10;12,13;-12;0,67155,19,2021-11-17
229,67426,,,,,67426,19,2021-11-17
230,67429,9;-14;22,19;-6;11,31;-15;-16,36;-4;-9,67429,19,2021-11-17
231,67702,,,,,67702,19,2021-11-17
232,67704,40;-41;-14,26;-20;0,-6;-28;-2,34;-25;1,67704,19,2021-11-17
233,67983,,,,,67983,19,2021-11-17
234,67986,30;-4;-5,13;-16;7,27;-15;10,21;-21;-1,67986,19,2021-11-17
235,68258,,,,,68258,19,2021-11-17
236,68260,8;1;19,0;-10;-33,2;-15;31,17;-24;0,68260,19,2021-11-17
237,68532,,,,,68532,19,2021-11-17
238,68534,1;-24;2,1;3;0,28;9;-21,40;-10;14,68534,19,2021-11-17
239,68796,,,,,68796,19,2021-11-17
240,68799,32;-29;-14,17;-6;-5,14;11;16,17;-19;-6,68799,19,2021-11-17
241,69065,,,,,69065,19,2021-11-17
242,69073,7;-1;11,12;-30;9,19;-3;4,19;-2;-4,69073,19,2021-11-17
243,69334,,,,,69334,19,2021-11-17
244,69337,33;0;10,11;-31;15,19;-11;-10,27;-14;-6,69337,19,2021-11-17
245,69611,,,,,69611,19,2021-11-17
246,69618,19;-10;5,30;-1;7,33;-32;8,13;-22;0,69618,19,2021-11-17
247,69884,,,,,69884,19,2021-11-17
248,69888,19;-10;4,53;-6;-15,9;-1;4,18;-7;1,69888,19,2021-11-17
249,70154,,,,,70154,19,2021-11-17
250,70157,10;15;0,27;11;-13,13;-17;-1,8;-19;2,70157,19,2021-11-17
251,70432,,,,,70432,19,2021-11-17
252,70435,18;-14;-8,14;-5;-1,29;-8;-2,16;0;5,70435,19,2021-11-17
253,70711,,,,,70711,19,2021-11-17
254,70714,18;9;3,21;-6;0,13;-10;-10,9;-20;5,70714,19,2021-11-17
255,70989,,,,,70989,19,2021-11-17
256,70992,14;0;13,31;-10;16,26;-12;1,14;9;-3,70992,19,2021-11-17
257,71262,,,,,71262,19,2021-11-17
258,71265,28;4;11,10;-27;10,11;-20;6,6;8;9,71265,19,2021-11-17
259,71534,,,,,71534,19,2021-11-17
260,71543,37;-8;-9,25;-24;5,22;-3;1,26;-12;10,71543,19,2021-11-17
261,71804,,,,,71804,19,2021-11-17
262,71808,27;-8;-1,14;-4;7,42;-7;7,14;-20;8,71808,19,2021-11-17
263,72075,,,,,72075,19,2021-11-17
264,72082,29;-8;1,16;-27;5,33;-12;8,17;-18;18,72082,19,2021-11-17
265,72350,,,,,72350,19,2021-11-17
266,72353,32;-11;11,16;-4;7,19;-10;9,29;-11;11,72353,19,2021-11-17
267,72619,,,,,72619,19,2021-11-17
268,72622,21;-8;13,26;-8;-2,23;-10;0,29;-10;23,72622,19,2021-11-17
269,72894,,,,,72894,19,2021-11-17
270,72896,21;-3;6,21;-9;-5,28;-9;-4,23;-10;2,72896,19,2021-11-17
271,73162,,,,,73162,19,2021-11-17
272,73165,32;-7;1,41;-7;15,35;-12;17,29;-3;9,73165,19,2021-11-17
273,73439,,,,,73439,19,2021-11-17
274,73442,38;-9;11,32;-13;11,37;-11;12,32;-9;11,73442,19,2021-11-17
275,73713,,,,,73713,19,2021-11-17
276,73715,35;-10;8,36;-13;5,36;-6;10,38;-12;6,73715,19,2021-11-17
277,73989,,,,,73989,19,2021-11-17
278,73997,31;-3;6,36;-9;12,31;-10;11,31;-10;7,73997,19,2021-11-17
279,74263,,,,,74263,19,2021-11-17
280,74266,32;-8;6,32;-9;-5,31;-11;7,29;-4;5,74266,19,2021-11-17
281,74540,,,,,74540,19,2021-11-17
282,74547,28;-3;14,30;-3;12,29;-5;3,26;-6;7,74547,19,2021-11-17
283,74814,,,,,74814,19,2021-11-17
284,74817,24;-13;2,21;-11;2,21;-6;3,17;-6;5,74817,19,2021-11-17
285,75085,,,,,75085,19,2021-11-17
286,75088,16;-6;3,13;-9;2,14;-8;1,8;-9;2,75088,19,2021-11-17
287,75440,,,,,75440,19,2021-11-17
288,75443,10;-9;2,9;-11;1,7;-9;1,9;-8;3,75443,19,2021-11-17
289,75712,,,,,75712,19,2021-11-17
290,75715,7;-7;2,7;-7;0,5;-8;0,-1;-9;-1,75715,19,2021-11-17
291,75983,,,,,75983,19,2021-11-17
292,75985,-1;-8;-3,-2;-8;-3,-6;-10;-3,-8;-9;-4,75985,19,2021-11-17
293,76254,,,,,76254,19,2021-11-17
294,76256,-7;-11;-2,-7;-9;1,-8;-4;0,-13;-10;-5,76256,19,2021-11-17
295,76531,,,,,76531,19,2021-11-17
296,76540,-11;-11;0,-11;-13;-4,-10;-13;-2,-11;-12;-2,76540,19,2021-11-17
297,76805,,,,,76805,19,2021-11-17
298,76808,-12;-10;-1,-11;-17;-1,-8;-14;-3,-15;-11;-7,76808,19,2021-11-17
299,77081,,,,,77081,19,2021-11-17
300,77089,-9;-13;-6,-9;-14;-5,-12;-18;-3,-8;-17;-8,77089,19,2021-11-17
301,77355,,,,,77355,19,2021-11-17
302,77358,-7;-20;-8,-9;-16;-3,-9;-13;0,-14;-15;-5,77358,19,2021-11-17
303,77624,,,,,77624,19,2021-11-17
304,77626,-11;-14;-3,-5;-22;-4,-8;-22;-1,-5;-18;-3,77626,19,2021-11-17
305,77899,,,,,77899,19,2021-11-17
306,77902,-4;-21;-4,-5;-17;-1,-8;-25;1,-6;-25;-2,77902,19,2021-11-17
307,78168,,,,,78168,19,2021-11-17
308,78171,-2;-23;-3,-5;-19;-7,-3;-24;2,0;-24;1,78171,19,2021-11-17
309,78455,,,,,78455,19,2021-11-17
310,78458,1;-21;-4,0;-28;-5,0;-19;-5,-1;-22;2,78458,19,2021-11-17
311,78725,,,,,78725,19,2021-11-17
312,78728,-3;-17;-3,0;-19;1,-4;-30;-2,0;-34;-5,78728,19,2021-11-17
313,79000,,,,,79000,19,2021-11-17
314,79003,-1;-31;-6,3;-31;-2,-8;-23;-4,-10;-30;0,79003,19,2021-11-17
315,79273,,,,,79273,19,2021-11-17
316,79277,6;-31;-2,5;-42;-3,7;-32;2,1;-36;-2,79277,19,2021-11-17
317,79545,,,,,79545,19,2021-11-17
318,79552,5;-38;7,-5;-28;13,-3;-28;0,-1;-28;-5,79552,19,2021-11-17
319,79821,,,,,79821,19,2021-11-17
320,79824,2;-40;0,8;-32;4,4;-33;0,0;-39;5,79824,19,2021-11-17
321,80093,,,,,80093,19,2021-11-17
322,80101,-3;-41;10,0;-29;9,0;-34;5,6;-31;0,80101,19,2021-11-17
323,80363,,,,,80363,19,2021-11-17
324,80366,0;-40;8,-1;-35;3,4;-31;-2,2;-27;2,80366,19,2021-11-17
325,80632,,,,,80632,19,2021-11-17
326,80635,3;-40;0,1;-33;5,-3;-28;7,-3;-32;4,80635,19,2021-11-17
327,80902,,,,,80902,19,2021-11-17
328,80904,0;-40;7,1;-35;15,7;-33;3,8;-23;4,80904,19,2021-11-17
329,81173,,,,,81173,19,2021-11-17
330,81176,8;-33;4,2;-33;7,7;-30;7,8;-24;2,81176,19,2021-11-17
331,81452,,,,,81452,19,2021-11-17
332,81455,-5;-24;14,0;-28;9,-5;-26;0,-5;-26;3,81455,19,2021-11-17
333,81721,,,,,81721,19,2021-11-17
334,81724,-6;-22;2,0;-22;-2,-6;-18;2,-1;-25;2,81724,19,2021-11-17
335,81995,,,,,81995,19,2021-11-17
336,82002,0;-19;0,-4;-19;0,-7;-14;0,-2;-15;-5,82002,19,2021-11-17
337,82266,,,,,82266,19,2021-11-17
338,82268,0;-19;-1,-4;-13;1,-3;-11;0,-1;-12;-4,82268,19,2021-11-17
339,82542,,,,,82542,19,2021-11-17
340,82550,-5;-10;-4,-6;-12;-2,-7;-10;0,-1;-9;-2,82550,19,2021-11-17
341,82817,,,,,82817,19,2021-11-17
342,82819,-5;-9;0,-4;-12;-3,-2;-16;-2,-3;-11;-2,82819,19,2021-11-17
343,83085,,,,,83085,19,2021-11-17
344,83088,-2;-11;0,0;-14;-4,0;-15;0,-1;-15;0,83088,19,2021-11-17
345,83360,,,,,83360,19,2021-11-17
346,83363,0;-16;0,-1;-19;2,0;-10;0,0;-13;-7,83363,19,2021-11-17
347,83632,,,,,83632,19,2021-11-17
348,83634,-3;-11;-2,-5;-13;0,-3;-15;-3,-2;-5;0,83634,19,2021-11-17
349,83912,,,,,83912,19,2021-11-17
350,83915,-11;-3;-10,-7;-11;0,-5;-9;5,0;-10;-5,83915,19,2021-11-17
351,84180,,,,,84180,19,2021-11-17
352,84183,-8;-8;-5,-6;-11;-1,-9;-13;-5,-1;-14;8,84183,19,2021-11-17
353,84455,,,,,84455,19,2021-11-17
354,84457,-4;-12;2,1;-16;0,-4;-7;0,1;-15;-4,84457,19,2021-11-17
355,84724,,,,,84724,19,2021-11-17
356,84727,-7;-11;7,-3;-8;-1,-6;-12;0,-6;-20;-4,84727,19,2021-11-17
357,84999,,,,,84999,19,2021-11-17
358,85008,0;-14;-4,-6;-10;0,-4;-11;-6,-6;-10;1,85008,19,2021-11-17
359,85281,,,,,85281,19,2021-11-17
360,85284,-6;-11;0,-6;-11;2,-3;-9;0,-4;-12;-4,85284,19,2021-11-17
361,85551,,,,,85551,19,2021-11-17
362,85558,-8;-6;-4,-1;-11;-1,0;-8;-5,0;-7;-2,85558,19,2021-11-17
363,85825,,,,,85825,19,2021-11-17
364,85828,0;-15;-3,3;-10;-4,9;-14;0,6;-6;7,85828,19,2021-11-17
365,86100,,,,,86100,19,2021-11-17
366,86103,8;-12;6,11;-13;10,10;-14;2,8;-6;0,86103,19,2021-11-17
367,86374,,,,,86374,19,2021-11-17
368,86377,8;-6;-4,10;-6;-4,9;-6;3,15;-12;10,86377,19,2021-11-17
369,86639,,,,,86639,19,2021-11-17
370,86642,13;-7;8,13;-3;10,15;-8;2,14;-3;3,86642,19,2021-11-17
371,86912,,,,,86912,19,2021-11-17
372,86915,13;-3;5,11;-2;3,10;-1;-2,11;-7;-1,86915,19,2021-11-17
373,87176,,,,,87176,19,2021-11-17
374,87179,12;1;2,16;-3;4,13;-1;5,11;0;-5,87179,19,2021-11-17
375,87452,,,,,87452,19,2021-11-17
376,87460,13;2;-1,16;1;0,12;2;2,15;0;1,87460,19,2021-11-17
377,87727,,,,,87727,19,2021-11-17
378,87730,16;-1;-4,13;2;-2,12;4;1,11;2;5,87730,19,2021-11-17
379,88002,,,,,88002,19,2021-11-17
380,88005,13;5;3,15;1;-1,13;-1;3,16;2;5,88005,19,2021-11-17
381,88276,,,,,88276,19,2021-11-17
382,88280,15;0;0,14;0;1,21;1;0,19;4;6,88280,19,2021-11-17
383,88553,,,,,88553,19,2021-11-17
384,88556,17;3;4,16;3;4,19;1;1,19;-1;2,88556,19,2021-11-17
385,88830,,,,,88830,19,2021-11-17
386,88833,18;0;3,19;-2;5,21;-3;5,20;-4;0,88833,19,2021-11-17
387,89103,,,,,89103,19,2021-11-17
388,89106,21;-6;0,20;-4;3,23;-4;3,22;-9;2,89106,19,2021-11-17
389,89383,,,,,89383,19,2021-11-17
390,89387,22;-13;5,23;-11;2,20;-12;3,21;-12;3,89387,19,2021-11-17
391,89654,,,,,89654,19,2021-11-17
392,89657,22;-14;6,21;-14;5,23;-19;4,24;-23;5,89657,19,2021-11-17
393,89930,,,,,89930,19,2021-11-17
394,89938,23;-25;6,22;-29;7,25;-29;4,21;-30;7,89938,19,2021-11-17
395,90204,,,,,90204,19,2021-11-17
396,90207,22;-34;5,22;-38;5,21;-35;8,19;-30;4,90207,19,2021-11-17
397,90480,,,,,90480,19,2021-11-17
398,90483,20;-28;1,16;-29;3,20;-33;2,18;-34;5,90483,19,2021-11-17
399,90755,,,,,90755,19,2021-11-17
400,90758,17;-33;7,20;-31;6,18;-29;2,15;-28;1,90758,19,2021-11-17
401,91030,,,,,91030,19,2021-11-17
402,91033,14;-28;1,15;-24;3,9;-22;1,6;-24;5,91033,19,2021-11-17
403,91313,,,,,91313,19,2021-11-17
404,91316,8;-20;1,8;-22;-1,8;-25;-1,6;-22;-3,91316,19,2021-11-17
405,91581,,,,,91581,19,2021-11-17
406,91584,3;-22;-1,6;-26;-14,5;-19;0,0;-18;14,91584,19,2021-11-17
407,91855,,,,,91855,19,2021-11-17
408,91858,0;-12;2,-2;-13;-3,2;-22;-9,1;-25;-3,91858,19,2021-11-17
409,92121,,,,,92121,19,2021-11-17
410,92124,2;-19;-3,6;-19;4,2;-18;6,4;-17;2,92124,19,2021-11-17
411,92390,,,,,92390,19,2021-11-17
